actor_action,actor_alpha,actor_alpha_loss,actor_atanh_action,actor_ent,actor_grad_norm,actor_loss,actor_mean,actor_std,batch_reward,critic_cql,critic_cql_logsum1,critic_grad_norm,critic_loss,critic_q1,critic_target_q,fps,frame,rand_Q1,sampled_Q1,step,total_time
0.02192128449678421,0.9999000430107117,0.0,0.041659265756607056,3.6736745834350586,4.538776397705078,-3.5049219131469727,0.05155671760439873,1.0847997665405273,0.883040189743042,4.596175670623779,2.1564364433288574,26.66533088684082,229.81068420410156,-0.13735951483249664,0.6865826845169067,36.162426882010124,0,-0.14806054532527924,-0.14687466621398926,0.0,27.653012990951538
-0.17137572845094837,0.9545067381858826,-0.33757005125097933,-0.22919160021096469,1.4303222133517266,9.22905909383297,-2.183596370961517,-0.22947795659218537,0.5398819626867771,0.9778025430440903,2.492942918777466,4.5536381534338,249.55606129837037,124.73114504241943,3.3825204552710058,1.6259240214899182,6.658197367684982,1000,-5.359427831573412,1.224675558023504,1000.0,177.8438150882721
-0.17240084341168405,0.8676722609400749,-0.9664984676837921,-0.22707098706066609,0.8220688014626503,9.312271759986878,2.1525943018868565,-0.22735925853252412,0.4757649361789226,0.9788767874836922,2.3479936640262604,1.162420746423304,301.568963684082,117.527790184021,0.07169139766693115,-2.356768139515072,6.634529556869006,2000,-10.033709930419922,-2.168157986197621,2000.0,328.5704026222229
-0.17222469030320645,0.7886008799076081,-1.541789832353592,-0.22742906084656717,0.4926584858298302,9.485392547130585,6.430221408843994,-0.2272737481445074,0.4558607918322086,0.9786407210230827,2.1939803751707077,-2.321454667069018,363.2254226074219,109.84327821350098,-3.322854602128267,-6.390964171886444,6.932463632802017,3000,-14.32139277267456,-5.811852812767029,3000.0,472.8192665576935
-0.1711649798899889,0.7165384203195572,-2.071973471403122,-0.22378049974143505,0.21695337683754043,8.710163332462312,11.365330564022065,-0.22366373573243617,0.4367389444708824,0.9785390527248382,2.086588361263275,-6.475997371673584,398.4687166748047,104.50346520233154,-7.427535108566284,-11.116050674438476,6.5824836089519,4000,-19.35329196166992,-10.050145300388337,4000.0,624.7376096248627
-0.1710723164230585,0.6510020195841789,-2.567502696275711,-0.22272146520018576,-0.018206198607571424,8.981087089061736,17.32026526260376,-0.22250585341453552,0.421774120002985,0.9784921908378601,2.02682025718689,-11.628016627311707,434.0083959350586,101.54586614990234,-12.540054963111878,-16.904038698196413,6.84627342878089,5000,-25.193410808563232,-15.294912667274476,5000.0,770.8024747371674
-0.1718156619668007,0.5913882903456688,-3.0203174195289613,-0.22295839637517928,-0.24974846436223014,9.390338423728943,24.856351638793946,-0.2229686494767666,0.4085062645673752,0.9785165541768074,1.9731867160797119,-18.418228219032287,452.1383294067383,98.8941813659668,-19.295323333740235,-24.257727556228637,6.400563721524057,6000,-32.584352142333984,-22.166582763671876,6000.0,927.0387134552002
-0.17342450748384,0.5372483503818511,-3.434966727256775,-0.22487900362908841,-0.4710610082000494,9.33041879272461,34.31668050765991,-0.2253102751225233,0.3971669881641865,0.9784054431915283,1.919877197265625,-27.0795096244812,484.4512196960449,96.25841466522216,-27.926741584777833,-33.486069904327394,7.344724090684826,7000,-41.85043934249878,-30.904279401779174,7000.0,1063.1908671855927
-0.1754944521635771,0.4880915849804878,-3.804997444868088,-0.2279780926555395,-0.6947773573845625,9.147429692268371,45.6758611907959,-0.2281377835571766,0.38671984335780146,0.9782847084403038,1.8678577728271484,-38.034724838256835,494.61915994262694,93.68105879974365,-38.851280311584475,-44.65219019317627,6.243734054213918,8000,-53.375460124969486,-41.92904797363281,8000.0,1223.3514368534088
-0.1779408266544342,0.4435148159563541,-4.130406043052673,-0.23230261801183225,-0.9196590067744255,9.335303659439086,58.506478214263915,-0.2323950588554144,0.37708636847138405,0.9782929623126984,1.8331167678833007,-50.572104972839355,523.6903673095703,91.9667233581543,-51.37519888305664,-57.29683793640137,6.543376393570097,9000,-66.28302132415772,-54.5133232421875,9000.0,1376.1777367591858
